a,b,c
0.000000,3.460000,-3.460000
-0.139524,3.527656,-3.388133
-0.278878,3.591019,-3.312142
-0.417892,3.650012,-3.232120
-0.556398,3.704562,-3.148164
-0.694227,3.754604,-3.060377
-0.831210,3.800076,-2.968866
-0.967183,3.840923,-2.873741
-1.101978,3.877096,-2.775119
-1.235432,3.908550,-2.673119
-1.367382,3.935247,-2.567865
-1.497668,3.957155,-2.459487
-1.626132,3.974247,-2.348115
-1.752616,3.986502,-2.233886
-1.876967,3.993905,-2.116938
-1.999034,3.996447,-1.997413
-2.118668,3.994126,-1.875457
-2.235724,3.986943,-1.751219
-2.350058,3.974908,-1.624850
-2.461533,3.958036,-1.496503
-2.570011,3.936346,-1.366335
-2.675362,3.909866,-1.234504
-2.777457,3.878627,-1.101170
-2.876171,3.842667,-0.966496
-2.971385,3.802031,-0.830646
-3.062983,3.756768,-0.693785
-3.150853,3.706932,-0.556080
-3.234888,3.652585,-0.417697
-3.314986,3.593793,-0.278807
-3.391049,3.530627,-0.139577
-3.462986,3.463163,-0.000177
-3.530708,3.391485,0.139222
-3.594133,3.315680,0.278453
-3.653183,3.235839,0.417345
-3.707788,3.152060,0.555728
-3.757880,3.064444,0.693435
-3.803398,2.973099,0.830299
-3.844288,2.878136,0.966152
-3.880499,2.779670,1.100829
-3.911987,2.677821,1.234166
-3.938714,2.572712,1.366001
-3.960647,2.464473,1.496174
-3.977760,2.353234,1.624526
-3.990032,2.239131,1.750901
-3.997448,2.122304,1.875144
-3.999999,2.002893,1.997106
-3.997681,1.881045,2.116637
-3.990498,1.756907,2.233592
-3.978459,1.630631,2.347828
-3.961578,1.502370,2.459207
-3.939875,1.372281,2.567594
-3.913377,1.240522,2.672855
-3.882116,1.107253,2.774863
-3.846131,0.972637,2.873494
-3.805465,0.836837,2.968628
-3.760167,0.700018,3.060149
-3.710293,0.562347,3.147946
-3.655903,0.423992,3.231911
-3.597064,0.285121,3.311943
-3.533847,0.145903,3.387944
-3.466330,0.006507,3.459823
-3.394593,-0.132897,3.527490
-3.318726,-0.272138,3.590863
-3.238819,-0.411048,3.649867
-3.154970,-0.549459,3.704429
-3.067281,-0.687201,3.754482
-2.975860,-0.824106,3.799966
-2.880817,-0.960009,3.840825
-2.782267,-1.094743,3.877010
-2.680332,-1.228144,3.908476
-2.575135,-1.360050,3.935185
-2.466803,-1.490302,3.957106
-2.355469,-1.618740,3.974209
-2.241269,-1.745208,3.986477
-2.124340,-1.869552,3.993892
-2.004827,-1.991620,3.996447
-1.882873,-2.111265,3.994138
-1.758627,-2.228340,3.986967
-1.632243,-2.342702,3.974945
-1.503870,-2.454214,3.958085
-1.373668,-2.562739,3.936407
-1.241794,-2.668145,3.909939
-1.108408,-2.770304,3.878712
-0.973673,-2.869092,3.842765
-0.837754,-2.964387,3.802140
-0.700814,-3.056074,3.756889
-0.563022,-3.144042,3.707065
-0.424546,-3.228184,3.652729
-0.285552,-3.308396,3.593948
-0.146210,-3.384583,3.530793
-0.006691,-3.456650,3.463341
0.132837,-3.524510,3.391673
0.272203,-3.588081,3.315878
0.411238,-3.647285,3.236047
0.549772,-3.702049,3.152277
0.687636,-3.752309,3.064672
0.824664,-3.798001,2.973336
0.960689,-3.839071,2.878382
1.095544,-3.875469,2.779925
1.229066,-3.907150,2.678084
1.361093,-3.934077,2.572984
1.491462,-3.956214,2.464752
1.620017,-3.973538,2.353521
1.746599,-3.986025,2.239426
1.871056,-3.993661,2.122605
1.993236,-3.996436,2.003200
2.112990,-3.994348,1.881358
2.230173,-3.987398,1.757226
2.344641,-3.975596,1.630955
2.456256,-3.958955,1.502699
2.564881,-3.937495,1.372614
2.670384,-3.911244,1.240860
2.772638,-3.880232,1.107595
2.871517,-3.844498,0.972981
2.966902,-3.804085,0.837184
3.058675,-3.759043,0.700368
3.146727,-3.709425,0.562698
3.230947,-3.655293,0.424346
3.311237,-3.596712,0.285475
3.387496,-3.533754,0.146258
3.459633,-3.466494,0.006862
3.527558,-3.395017,-0.132541
3.591192,-3.319407,-0.271785
3.650453,-3.239757,-0.410696
3.705272,-3.156165,-0.549107
3.755582,-3.068731,-0.686851
3.801321,-2.977563,-0.823758
3.842434,-2.882769,-0.959664
3.878870,-2.784469,-1.094401
3.910585,-2.682778,-1.227807
3.937541,-2.577824,-1.359717
3.959705,-2.469731,-1.489974
3.977050,-2.358634,-1.618416
3.989554,-2.244666,-1.744888
3.997203,-2.127965,-1.869239
3.999987,-2.008675,-1.991312
3.997903,-1.886939,-2.110964
3.990954,-1.762909,-2.228045
3.979147,-1.636731,-2.342416
3.962497,-1.508563,-2.453935
3.941025,-1.378558,-2.562467
3.914756,-1.246875,-2.667881
3.883723,-1.113675,-2.770048
3.847963,-0.979119,-2.868845
3.807521,-0.843372,-2.964148
3.762443,-0.706598,-3.055846
3.712788,-0.568965,-3.143823
3.658613,-0.430638,-3.227975
3.599986,-0.291788,-3.308197
3.536977,-0.152584,-3.384394
3.469664,-0.013192,-3.456472
3.398128,0.126215,-3.524343
3.322455,0.265469,-3.587925
